,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
0,57818,0,85,0,1,1,26.0167,-80.12437,0,6,1.0,2,2,3,29,15,4.61,4.7,4.6,5.0,4.96,4.88,4.7,0,1,1,1,57,22.388059701492537,5261.194029850746
1,69824,0,60,0,1,1,25.97641,-80.12052,0,6,2.0,2,4,30,365,1,4.0,5.0,5.0,5.0,4.0,5.0,4.0,0,2,1,0,19,1.492537313432836,208.95522388059703
2,83449,1,92,0,1,1,26.03392,-80.14201,0,5,1.0,2,3,7,180,1,4.74,4.84,4.84,4.89,4.89,4.79,4.89,0,8,1,1,19,1.492537313432836,147.76119402985074
3,105411,2,0,0,1,1,26.04678,-80.36809,0,5,2.0,3,3,4,180,1,5.0,5.0,5.0,5.0,5.0,4.25,5.0,0,1,1,0,13,1.492537313432836,350.74626865671644
4,129061,1,26,0,1,1,25.99332,-80.11887,0,7,2.0,2,3,14,1825,3,4.65,4.78,4.56,4.61,5.0,4.61,4.5,0,6,1,1,38,4.477611940298507,1410.4477611940297
5,129099,1,26,0,1,1,25.99416,-80.11969,0,5,1.5,1,2,10,365,1,4.32,4.46,4.3,4.39,4.35,4.55,4.09,0,6,1,0,29,1.492537313432836,335.82089552238807
6,148247,0,93,1,1,1,26.10698,-80.37118,2,1,1.5,1,1,7,1125,5,4.97,4.98,4.93,4.98,5.0,4.95,4.97,0,1,1,1,38,7.462686567164179,417.91044776119406
7,191160,2,0,0,1,0,26.30707,-80.07793,0,4,1.0,1,2,2,180,1,4.25,4.39,4.46,4.83,4.87,4.87,4.43,0,1,1,1,20,1.492537313432836,177.61194029850748
8,216046,1,96,0,1,1,26.00746,-80.19631,0,10,3.0,4,7,2,21,25,4.73,4.75,4.75,4.9,4.73,4.77,4.71,0,1,1,1,41,37.3134328358209,10597.014925373134
9,217990,1,26,0,1,1,25.9942,-80.11725,0,5,1.5,1,1,10,365,1,4.93,4.88,4.81,5.0,5.0,4.88,4.81,0,6,1,0,16,1.492537313432836,238.80597014925374
10,229773,0,91,1,1,0,26.11784,-80.11059,0,6,2.0,2,4,3,1125,16,4.84,4.86,4.77,4.9,4.9,5.0,4.78,1,1,1,1,36,23.880597014925375,15522.388059701494
12,241944,1,92,0,1,1,26.03392,-80.14201,0,2,1.0,1,1,7,28,1,4.89,4.7,4.7,4.9,5.0,4.7,4.8,0,8,1,1,20,1.492537313432836,149.2537313432836
13,256386,0,96,0,1,1,26.0274,-80.14268,0,4,1.0,2,2,2,365,34,4.83,4.88,4.87,4.92,4.89,4.64,4.78,0,4,1,1,52,50.74626865671642,8829.850746268656
14,302467,0,76,1,1,1,26.15081,-80.13361,0,4,2.0,2,2,3,365,10,4.78,4.76,4.8,4.97,4.95,4.65,4.74,0,3,1,1,52,14.925373134328359,2820.89552238806
