,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,availability_365,number_of_reviews,review_scores_rating,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,reviews_per_month,essentials,other_amenities,annual_revenue,host_experience,match_group,match_group_size,weights
1,0,0,1,0,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,701.4,1,620.0,6.0,1.0
3,0,1,1,0,1,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1154.4,1,659.0,2.0,1.0
4,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,11447.4,1,511.0,4.0,1.0
21,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,10305.0,1,233.0,6.0,1.0
26,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,626.4000000000001,1,497.0,2.0,1.0769230769230769
31,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,8777.16,1,436.0,2.0,1.0
32,0,2,1,0,0,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1015.2,1,673.0,4.0,0.3589743589743589
38,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,4204.56,1,331.0,7.0,1.0
39,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4610.160000000001,1,770.0,2.0,1.0769230769230769
40,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,8096.040000000001,1,417.0,15.0,1.0
43,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1368.0,1,322.0,5.0,1.6153846153846154
48,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,4078.08,1,269.0,4.0,0.3589743589743589
49,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,63138.24,1,442.0,9.0,1.0
66,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,70181.28,1,859.0,2.0,1.0
77,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,397.32,1,663.0,2.0,1.0769230769230769
78,0,2,1,0,0,1,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,117.0,1,676.0,2.0,1.0769230769230769
87,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2070.0,1,234.0,3.0,2.1538461538461537
89,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,32536.92,1,344.0,4.0,3.230769230769231
92,0,0,1,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1225.8000000000002,1,756.0,2.0,1.0769230769230769
119,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,5166.719999999999,1,388.0,5.0,0.7179487179487178
123,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,140656.44,1,241.0,3.0,2.1538461538461537
124,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,601.8000000000001,1,514.0,3.0,0.5384615384615384
131,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,435.0,1,885.0,2.0,1.0
142,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,966.6,1,496.0,3.0,0.5384615384615384
146,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,360.0,1,527.0,2.0,1.0
148,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1555.1999999999998,1,329.0,7.0,1.0
157,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,9828.0,1,451.0,2.0,1.0769230769230769
172,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1027.2,1,885.0,2.0,1.0769230769230769
174,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2166.6000000000004,1,912.0,3.0,1.0
178,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,6237.0,1,187.0,2.0,1.0769230769230769
184,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,10530.0,1,552.0,2.0,1.0
189,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,950.4,1,534.0,2.0,1.0769230769230769
198,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,5534.64,1,773.0,2.0,1.0769230769230769
206,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,7481.760000000001,1,390.0,3.0,1.0
207,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,51508.8,1,702.0,2.0,1.0
209,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,667.6800000000001,1,312.0,3.0,0.5384615384615384
213,0,2,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,270.36,1,671.0,5.0,0.2692307692307692
217,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,10184.64,1,381.0,2.0,1.0
220,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1212.0,1,890.0,2.0,1.0
224,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,8892.0,1,418.0,10.0,9.692307692307692
225,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,29088.0,1,405.0,3.0,1.0
226,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,7424.28,1,438.0,4.0,1.0
227,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,4692.0,1,243.0,7.0,1.0
231,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,3874.44,1,552.0,2.0,1.0769230769230769
235,0,2,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,99.36,1,793.0,2.0,1.0769230769230769
236,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,252.0,1,720.0,2.0,1.0769230769230769
238,0,2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,375.0,1,580.0,3.0,2.1538461538461537
239,0,2,1,0,1,0,1,1,2,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,169.2,1,679.0,2.0,1.0
245,0,2,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,201.96,1,680.0,2.0,1.0
249,0,2,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,3645.0,1,570.0,2.0,1.0
253,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,6973.4400000000005,1,368.0,2.0,1.0769230769230769
