,host_id,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,number_of_reviews_ltm,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,essentials,other_amenities,hotel_room_revenue,host_experience,total_bookings
0,3008,California,1,100,100,1,1,1,2,1.0,1.0,1,1,1,6.0,4.8149999999999995,1,3.0,0.86,1,39,54089.552238805976,4829.0,17.910447761194032
1,3041,California,0,100,37,1,1,1,2,1.0,1.0,1,1,1,0.0,4.68,0,2.0,0.35,1,17,0.0,4828.0,0.0
2,6829,California,1,100,54,0,1,1,0,6.0,2.5,3,3,1,0.0,4.645,0,2.0,1.2149999999999999,1,22,0.0,4707.5,0.0
3,7830,California,1,100,71,1,1,1,2,2.0,1.0,1,1,1,11.0,4.87,0,1.0,1.48,1,24,2134.3283582089553,4681.0,16.417910447761194
4,9171,California,1,100,82,1,1,1,0,1.25,1.0,1,1,1,1.75,4.75,0,4.0,3.5,1,27,19925.373134328358,4659.75,10.44776119402985
5,11619,California,1,100,79,0,1,1,0,5.0,1.5,2,2,1,0.25,4.275,1,6.0,0.43999999999999995,1,35,13388.059701492539,4636.75,1.492537313432836
6,11652,California,0,100,100,1,1,1,0,6.0,1.0,2,3,1,43.0,4.95,1,1.0,5.35,1,33,7188.059701492538,4636.0,64.17910447761194
7,11975,California,1,100,80,0,1,1,0,2.0,1.0,2,2,1,3.0,5.0,0,1.0,0.1,1,25,34701.49253731343,4633.0,4.477611940298507
8,19404,California,0,100,100,1,1,1,0,4.0,1.0,2,2,1,87.0,4.94,0,1.0,5.01,0,23,95440.29850746268,4573.0,129.8507462686567
9,19779,California,0,100,0,0,1,1,0,2.0,1.0,0,1,1,0.0,4.6,0,1.0,0.14,1,3,0.0,4571.0,0.0
10,21700,California,0,100,94,1,1,1,2,1.6666666666666667,1.3333333333333333,1,1,1,20.0,4.89,0,3.0,3.106666666666667,1,24,6417.9104477611945,4558.0,89.55223880597015
11,22363,California,0,100,83,1,1,1,0,5.0,1.0,1,3,1,38.5,4.94,0,2.0,2.855,1,75,77157.91044776118,4554.0,114.92537313432837
12,26808,California,0,100,100,1,1,1,2,3.0,1.0,1,1,1,0.0,4.79,1,1.0,0.74,1,32,0.0,4521.0,0.0
13,30319,California,2,100,60,0,1,1,0,2.5,1.0,1,1,1,1.5,4.6850000000000005,0,2.0,1.04,1,20,11417.910447761193,4504.0,4.477611940298507
14,30484,California,2,100,33,0,1,1,0,1.0,1.0,0,2,1,1.0,4.82,0,2.0,0.47,1,26,4253.731343283583,4503.0,1.492537313432836
15,31306,California,0,100,97,1,1,1,0,4.666666666666667,1.0,1,2,1,14.666666666666666,4.829999999999999,0,3.0,1.2133333333333332,1,58,39144.17910447761,4500.0,65.67164179104478
16,31783,California,0,100,64,0,1,1,0,2.0,1.0,1,1,1,4.0,4.91,0,1.0,0.5,1,39,2388.0597014925374,4497.0,5.970149253731344
17,32884,California,2,100,60,1,1,1,0,2.0,1.0,1,1,1,2.0,4.99,0,1.0,1.24,1,50,9850.746268656718,4492.0,2.985074626865672
18,33861,California,1,100,50,0,1,1,2,1.0,1.0,1,2,1,0.0,4.83,0,1.0,0.95,1,24,0.0,4486.0,0.0
