,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
0,275948,0,85,0,1,1,0,6,2,2,337,0,4.7,0,1,0.51,1,1,57,1.0,9,11,15862.5
1,351303,0,60,0,2,1,0,6,2,4,268,0,4.0,0,2,0.04,1,0,19,2.0,4,10,6300.0
2,454736,1,92,0,9,1,0,5,2,3,206,0,4.89,0,8,0.16,1,1,19,1.0,4,10,1039.5
3,532930,2,0,0,3,1,0,5,3,3,203,0,5.0,0,1,0.04,1,0,13,2.0,8,10,1410.0
4,637272,1,26,0,13,1,0,7,2,3,353,0,4.5,0,6,0.14,1,1,38,2.0,8,10,19845.0
5,637272,1,26,0,13,1,0,5,1,2,177,0,4.09,0,6,0.2,1,0,29,1.5,8,10,3375.0
6,614963,0,93,1,1,1,2,1,1,1,285,1,4.97,0,1,0.64,1,1,38,1.5,4,10,2940.0
7,924482,2,0,0,2,0,0,4,1,2,53,0,4.43,0,1,0.21,1,1,20,1.0,3,10,357.0
8,964836,1,96,0,1,1,0,10,4,7,215,0,4.71,0,1,0.61,1,1,41,3.0,6,10,21300.0
9,637272,1,26,0,13,1,0,5,1,1,281,0,4.81,0,6,0.15,1,0,16,1.5,8,10,2400.0
10,1097874,0,91,1,1,0,0,6,2,4,76,0,4.78,1,1,0.82,1,1,36,2.0,3,10,46800.0
12,454736,1,92,0,9,1,0,2,1,1,205,0,4.8,0,8,0.09,1,1,20,1.0,4,10,1050.0
13,1304156,0,96,0,7,1,0,4,2,2,356,2,4.78,0,4,1.55,1,1,52,1.0,5,10,17748.0
14,1557618,0,76,1,3,1,0,4,2,2,253,0,4.74,0,3,0.86,1,1,52,2.0,10,9,8788.5
15,1583261,0,92,0,6,1,2,2,1,1,50,0,5.0,0,2,0.16,1,1,54,1.0,7,9,780.0
16,1585064,2,100,1,2,0,2,2,1,1,262,0,4.83,0,2,0.39,1,1,43,1.0,5,9,12420.0
17,791089,3,29,0,8,1,0,6,3,3,355,0,1.2,0,4,0.05,1,1,16,3.0,7,10,9450.0
18,1304156,0,96,0,7,1,0,2,1,1,330,3,4.76,0,4,1.26,1,1,57,1.0,5,10,4758.0
21,1770887,0,99,0,54,1,0,6,1,3,28,0,4.63,1,9,0.27,1,1,41,1.0,10,9,6435.0
22,1848829,2,73,1,2,1,0,2,1,1,267,0,4.73,0,2,0.2,1,1,30,1.0,4,9,4725.0
24,1848829,2,73,1,2,1,0,2,1,1,296,1,4.85,0,2,0.17,1,1,30,1.0,4,9,6300.0
26,2168585,1,0,0,1,0,0,6,3,3,267,0,2.5,0,1,0.02,1,1,25,3.0,3,9,4042.5
27,1889394,0,100,1,1,1,0,4,1,2,200,2,4.83,1,1,1.03,1,1,33,1.0,6,9,17172.0
30,637272,1,26,0,13,1,0,7,2,5,357,0,4.44,0,6,0.23,1,0,19,2.0,8,10,11583.0
31,1585064,2,100,1,2,0,2,1,1,1,206,0,5.0,0,2,0.4,1,1,44,1.0,5,9,25920.0
32,1748183,1,95,1,4,1,2,2,1,1,207,0,4.93,0,3,0.43,1,1,36,1.0,8,9,6960.0
33,1770887,0,99,0,54,1,0,8,2,4,28,0,4.62,1,9,0.2,1,1,46,2.0,10,9,1796.3999999999999
34,3096101,2,100,0,3,0,2,1,1,1,14,0,4.58,0,1,0.27,1,1,22,1.0,4,9,240.0
35,1770887,0,99,0,54,1,0,6,1,3,14,0,4.45,1,9,0.18,1,1,39,1.0,10,9,1646.7000000000003
37,3463815,0,100,0,0,1,0,3,1,1,305,0,4.17,1,2,0.12,1,1,28,1.5,4,9,1350.0
38,1770887,0,99,0,54,1,0,6,1,1,14,0,4.47,1,9,0.19,1,1,42,1.0,10,9,2702.7000000000003
39,1770887,0,99,0,54,1,0,8,2,4,28,0,4.76,1,9,0.31,1,1,42,2.0,10,9,6177.599999999999
41,2609518,0,100,0,10,1,0,10,5,6,241,3,4.77,1,10,2.0,1,1,61,5.0,6,9,236390.40000000005
42,3747351,0,100,0,0,0,2,2,1,2,349,0,5.0,0,1,0.13,1,1,33,1.0,1,9,232.5
